4817313;4817313;;
1;1;;"UPDATE numeroorden SET codmodelo='' WHERE codmodelo='';"
195AF62;195;;
196.475.0;196475;;
197.335.0;197335;;
197.376.0;197376;;
226.482.1;226482;;
226.483.1;226483;;
2264150;2264150;;
2264180;2264180;;
2264250;2264250;;
2264351;2264351;;
226455;226455;;
2264650;2264650;;
2264750;2264750;;
2264881;2264881;;
2264991;2264991;;
265.482.1;265482;;
265.493.1;265493;;
265.524.0;265524;;
281.024.0;281024;ver;
281.024.1;281024;ver;
281.034.0;281034;;
281.043.0;281043;;
281.325.1;281325;;
281.430.1;281430;;
281.440.1;281440;;
300.101.0;300101;;
3347332;3347332;;
341.121.0;341121;;
341.131.0;341131;;
341.141.0;341141;;
341.161.0;341161;;
358.042.0;358042;;
358.085.0;358085;;
358.162.1;358162;;
359.032.0;359032;;
359.045.0;359045;;
359.132.1;359132;;
359.142.1;359142;;
359.145.0;359145;;
359.162.1;359162;;
359.167.1;359167;;
359.182.1;359182;;
359.189.1;359189;;
359.191.1;359191;;
359.192.2;359192;;
359.193.1;359193;;
359.402.0;359402;;
3590490;3590490;;
363.214.0;363214;;
363.216.0;363216;;
363.222.0;363222;;
363.232.0;363232;;
363.281.0;363281;;
372.376.1;372376;;
3723161;372316;;
376.238.0;376238;;
376.288.0;376288;;
578.975.0;578975;;
